date,revenue_cr,price
2024-09-13,14.212789,967.557
2024-09-16,5.238085,1143.9219
2024-09-17,0.890934,1111.2222
2024-09-18,1.224465,1298.7037
2024-09-19,2.897102,1237.0543
2024-09-20,32.706926,1328.3034
2024-09-23,8.02467,1310.7702
2024-09-24,1.065816,1326.7034
2024-09-25,1.348963,1279.2705
2024-09-26,2.855985,1253.0041
2024-09-27,15.129389,1215.3045
2024-09-30,8.290129,1228.2044
2024-10-01,1.357742,1286.2871
2024-10-03,3.44101,1317.8535
2024-10-04,29.200067,1369.3696
2024-10-07,17.166775,1275.4706
2024-10-08,1.417372,1414.2025
2024-10-09,1.574968,1393.6694
2024-10-10,2.781953,1405.3693
2024-10-11,10.249761,1498.8017
2024-10-14,5.26799,1603.1506
2024-10-15,1.010433,1584.0675
2024-10-16,1.507913,1507.2683
2024-10-17,2.134642,1419.1691
2024-10-18,15.339718,1424.9191
2024-10-21,7.099173,1444.7856
2024-10-22,1.374295,1363.403
2024-10-23,1.700385,1424.3858
2024-10-24,1.758707,1441.6356
2024-10-25,15.532205,1354.2365
2024-10-28,10.061492,1388.3861
2024-10-29,1.568937,1428.0024
2024-10-30,1.948553,1446.8689
2024-10-31,7.864336,1488.5184
2024-11-01,0.520954,1487.8685
2024-11-04,6.209995,1471.202
2024-11-05,1.300264,1534.3013
2024-11-06,1.912198,1561.5011
2024-11-07,2.24641,1624.0004
2024-11-08,11.545101,1564.6177
2024-11-11,9.050204,1541.0346
2024-11-12,1.444783,1559.3844
2024-11-13,2.230038,1497.2517
2024-11-14,8.266628,1515.9182
2024-11-18,6.461131,1568.651
2024-11-19,2.276906,1575.7676
2024-11-21,2.547459,1565.0343
2024-11-22,21.912755,1573.3009
2024-11-25,8.108725,1562.251
2024-11-26,1.638369,1477.0186
2024-11-27,1.807195,1492.0684
2024-11-28,4.687524,1524.6348
2024-11-29,16.362534,1556.9011
2024-12-02,3.525416,1521.2681
2024-12-03,3.568214,1504.585
2024-12-04,4.022107,1524.0014
2024-12-05,5.75261,1731.616
2024-12-06,13.035615,1798.7987
2024-12-09,2.350489,1822.3484
2024-12-10,2.695623,1822.0984
2024-12-11,2.473301,1850.7148
2024-12-12,2.820661,1870.2146
2024-12-13,24.965679,1878.2979
2024-12-16,3.037824,1887.9145
2024-12-17,3.725333,1909.2809
2024-12-18,3.569501,1877.4646
2024-12-19,3.435508,1930.464
2024-12-20,20.14868,1847.5982
2024-12-23,2.925589,1849.4148
2024-12-24,2.173297,1816.5152
2024-12-26,3.435349,1814.0985
2024-12-27,11.655834,1759.4824
2024-12-30,10.592572,1769.4823
2024-12-31,2.788474,1775.1156
2025-01-01,3.369333,1808.6486
2025-01-02,4.523586,1822.0484
2025-01-03,18.291806,1779.8989
2025-01-06,10.913626,1696.3164
2025-01-07,15.208078,1796.082
2025-01-08,3.67577,1800.1153
2025-01-09,2.646685,1735.066
2025-01-10,7.954655,1707.1996
2025-01-13,10.016748,1718.8495
2025-01-14,11.723221,1816.2652
2025-01-15,2.560914,1928.6474
2025-01-16,2.180138,1998.1967
2025-01-17,6.990182,1999.5633
2025-01-20,8.438518,1993.2467
2025-01-21,27.595039,1929.9474
2025-01-22,2.996636,1919.5475
2025-01-23,2.048636,1969.8803
2025-01-24,6.504801,1945.1805
2025-01-27,8.387898,1813.6985
2025-01-28,17.478942,1718.8995
2025-01-29,1.994493,1787.5655
2025-01-30,2.153027,1746.2825
2025-01-31,4.599843,1768.6323
2025-02-01,8.528447,1801.332
2025-02-03,7.707273,1805.1153
2025-02-04,22.893053,1855.0981
2025-02-05,2.132366,1944.3472
2025-02-06,2.174097,1855.8314
2025-02-07,7.066432,1908.6809
2025-02-10,7.59493,1876.5146
2025-02-11,18.035682,1729.0327
2025-02-12,4.370543,1785.0821
2025-02-13,3.388691,1751.7991
2025-02-14,8.883494,1706.8329
2025-02-17,10.591045,1736.216
2025-02-18,18.403896,1728.6827
2025-02-19,3.019099,1876.9812
2025-02-20,2.117865,1986.3635
2025-02-21,5.12,1919.2475
2025-02-24,6.20815,1869.7313
2025-02-25,9.771854,1833.9817
2025-02-27,1.342251,1720.8161
2025-02-28,7.011682,1544.5512
2025-03-03,10.887013,1453.1355
2025-03-04,12.051201,1484.5352
2025-03-05,3.586084,1433.019
2025-03-06,4.2684,1417.8025
2025-03-07,7.860969,1392.7527
2025-03-10,8.586677,1332.97
2025-03-11,13.544394,1269.904
2025-03-12,3.552636,1338.12
2025-03-13,3.188324,1308.7369
2025-03-17,9.203636,1320.7701
2025-03-18,17.573431,1382.2195
2025-03-19,2.861575,1464.1354
2025-03-20,3.304603,1492.6851
2025-03-21,8.829429,1593.2341
2025-03-24,11.430262,1551.6678
2025-03-25,23.071274,1550.5345
2025-03-26,4.143337,1491.5518
2025-03-27,3.001411,1561.4344
2025-03-28,10.61758,1826.5817
2025-04-01,19.962332,1821.9818
2025-04-02,3.790053,1884.9312
2025-04-03,3.149182,1873.5979
2025-04-04,8.570564,1839.1316
2025-04-07,20.961326,1727.4661
2025-04-08,35.124827,1846.0482
2025-04-09,3.861097,1849.4315
2025-04-11,11.956727,1881.5645
2025-04-15,10.080184,1985.9801
2025-04-16,3.66276,1976.8136
2025-04-17,5.769157,1976.9802
2025-04-21,11.358292,2094.9791
2025-04-22,13.248713,2080.4792
2025-04-23,3.622728,2146.3119
2025-04-24,2.691815,2164.4784
2025-04-25,12.025848,2101.1457
2025-04-28,10.826232,2188.1448
2025-04-29,15.839798,2213.8112
2025-04-30,3.134967,2119.6455
2025-05-02,13.063403,2102.1456
2025-05-05,10.026514,2151.1452
2025-05-06,11.586194,2081.6459
2025-05-07,3.8056,2217.4778
2025-05-08,3.732718,2229.9777
2025-05-09,10.387256,2190.6448
2025-05-12,14.42583,2318.4768
2025-05-13,30.207434,2438.4756
2025-05-14,4.962587,2448.9755
2025-05-15,7.132706,2382.6428
